ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10278782,HY467295,10/18/2015 09:00:00 PM,053XX S ASHLAND AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,0934,009,16,61,26,1166582,1869264,2015,10/25/2015 03:55:25 PM,41.796828615,-87.664657851,"(41.796828615, -87.664657851)"
10279753,HY467948,10/18/2015 09:00:00 PM,054XX S KEELER AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0815,008,23,62,06,1149292,1868179,2015,10/25/2015 03:55:25 PM,41.79420278,-87.728090778,"(41.79420278, -87.728090778)"
10278789,HY467297,10/18/2015 09:00:00 PM,018XX W 21ST PL,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1234,012,25,31,08B,1164536,1889774,2015,10/25/2015 03:55:25 PM,41.853153718,-87.671581451,"(41.853153718, -87.671581451)"
10278961,HY467494,10/18/2015 09:00:00 PM,067XX S KOLIN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0833,008,13,65,06,1148538,1859482,2015,10/25/2015 03:55:25 PM,41.770351347,-87.731079072,"(41.770351347, -87.731079072)"
10279414,HY467746,10/18/2015 09:00:00 PM,085XX S MANISTEE AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,0423,004,7,46,06,1195973,1848891,2015,10/25/2015 03:55:25 PM,41.740245809,-87.557553455,"(41.740245809, -87.557553455)"
10278898,HY467444,10/18/2015 09:00:00 PM,015XX W JARVIS AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,2423,024,49,1,06,1164769,1949132,2015,10/25/2015 03:55:25 PM,42.016030425,-87.66903815,"(42.016030425, -87.66903815)"
10278894,HY467394,10/18/2015 09:00:00 PM,056XX S KILPATRICK AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA GARAGE / OTHER PROPERTY,false,false,0813,008,23,56,14,1146073,1866900,2015,10/25/2015 03:55:25 PM,41.790754583,-87.739927261,"(41.790754583, -87.739927261)"
10278813,HY467286,10/18/2015 09:00:00 PM,028XX S PULASKI RD,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),false,false,1031,010,22,30,03,1150172,1884823,2015,10/25/2015 03:55:25 PM,41.839859214,-87.724431324,"(41.839859214, -87.724431324)"
10279945,HY468244,10/18/2015 09:00:00 PM,023XX N LOCKWOOD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2515,025,37,19,05,1140668,1914989,2015,10/25/2015 03:55:25 PM,41.922818144,-87.758566075,"(41.922818144, -87.758566075)"
10279064,HY467536,10/18/2015 09:00:00 PM,058XX S PRAIRIE AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,0232,002,20,40,26,1179041,1866277,2015,10/25/2015 03:55:25 PM,41.788356975,-87.619060644,"(41.788356975, -87.619060644)"
